SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
29.299999345094,0.0322714,16.927288300185097,78.5,77.53844
6.75999984890223,0.0105335,108.997750431471,48.96,48.163746
18.9699995759875,0.00305997,77.3875078200605,63.56,64.93062
22.0099995080382,0.00224703,23.0350134935391,77.73,70.1237
29.569999339059,0.00501097,26.325980015766696,72.86,70.83424
21.759999513626106,0.00182318,25.959343400813108,65.0,69.77548
22.739999491721395,0.00172076,16.6217159769651,63.78,68.8991
28.7399993576109,0.00457274,57.3874196588675,72.33,74.614265
21.9399995096028,0.00421893,50.0736374904941,63.61,71.044106
8.789999803528191,0.00908612,64.407767219802,48.56,52.789127
22.1699995044619,0.000422085,16.6217159769651,70.4,68.83136
18.809999579563694,0.00852612,37.9841106220317,67.02,68.578636
24.119999460876,0.00375695,29.2955449872949,67.24,72.96946
3.0499999318271898,0.0189113,18.8901948114736,58.29,54.004265
27.2599993906915,0.00133963,38.329569929643895,67.3785,76.19667
21.9199995100498,0.00168257,52.3680839040498,64.88,69.84079
20.8099995348603,0.0107809,23.3822757949308,63.252930000000006,68.24183
27.7199993804097,0.00537699,36.4987147305518,76.9,70.87861
18.3699995893985,0.0500077,24.995636089552,74.9,67.49585
21.5799995176494,0.00641367,27.4748276307528,71.71,71.107315
18.6799995824695,0.00503053,26.039969077421603,60.7,65.46035
26.7899994011968,0.00273204,40.3044352651801,70.43,75.1662
29.7499993350357,0.00423607,17.872204173952,71.52,72.5763
18.6799995824695,0.00259362,26.039969077421603,59.1,63.91211
26.65999940410261,0.00227952,36.7675352214459,76.91,74.75215
19.3599995672703,0.0360136,28.441131326415896,59.29,70.84779
18.2599995918572,0.00895203,99.5942535007964,59.8049,62.32528
24.679999448359,0.00159292,21.7769527973087,66.75,71.22177
18.3699995893985,0.0464268,24.995636089552,75.9,68.31372
28.8699993547052,0.00534145,62.141740237601006,69.58,74.446266
21.4499995205551,0.00241763,26.4215827968256,72.38,69.692116
24.5099994521588,0.0029936,44.6887273409188,67.8,75.61697
9.91999977827072,0.0156987,38.8488417751979,58.15,61.983234
21.759999513626106,0.00185448,20.7608740371617,65.4,69.38547
25.0699994396418,0.00378552,14.6495300512265,67.4,71.57813
28.7299993578345,0.00614472,49.2675435261005,62.39,69.28638
20.9999995306134,0.000762494,18.2373608448463,57.9,68.16768
25.4799994304776,0.00393307,21.2081389043834,67.8,72.93634
23.4299994762987,0.00362657,17.8095387681524,67.1,69.99322
22.4699994977564,0.00145243,24.114449299520697,66.3,70.5142
27.2599993906915,0.00327943,39.0238909181293,76.85,73.4559
16.8699996229261,0.0253840999999999,51.83359395468,74.0,67.57913
2.4899999443441603,0.00722086,71.75701729130479,46.27,44.960987
